Penalty,Coupling,Lambda,GaugeViolation0,GaugeViolation1,GaugeViolation2,GaugeViolation3,GaugeViolation4,GaugeViolation5,GaugeViolation6,GaugeViolation7,GaugeViolation8,GaugeViolation9
3,0.2,3,1.3275420485662138e-06,2.890486778892047e-05,0.0002296809961711864,3.4249093127744676e-05,1.1409649158062646e-05,0.00010640219308789321,3.923634905806659e-05,0.0005051124262354197,0.00011203342368741224,6.776890761553563e-05
4,0.2,4,5.5962249860005655e-06,1.3648940230941028e-05,0.00033129006952598814,0.00011961192634760151,0.0006088098307264065,0.0004669041507236968,0.0002679817789511415,0.0050761347337607175,0.0006558025102199799,0.002721300247734545
5,0.2,5,5.740268979606861e-08,5.4942277891804965e-06,2.3730022311137683e-05,1.29668978032459e-06,7.09602546422584e-05,5.001570034842274e-05,0.000965714261795078,3.383072837350176e-05,0.00032145622335070996,0.00011155438430235159
6,0.2,6,1.075885563792803e-07,4.52690722122974e-07,1.3010440906758251e-05,3.58612807138485e-06,3.605643918560749e-05,9.177855302032807e-05,0.000281685176802551,1.1806177573364233e-05,0.00021774659482085002,0.000204036084066246
7,0.2,7,1.5447124677208982e-09,2.3337174177037297e-07,4.78297402863648e-07,4.157538919201629e-08,3.584904660107819e-06,3.6907764856284526e-05,6.275973287693255e-06,3.837517433050902e-06,1.0630140112843284e-05,5.924474289353186e-06
8,0.2,8,2.570916551310825e-09,1.2525783696620045e-08,4.4581590947522814e-07,7.727207252105518e-08,1.344706833360335e-06,8.181414407918991e-06,1.3271633314895178e-05,3.0216534038526086e-07,9.649755325228638e-06,1.0106014326990699e-05
3,1.0,3,0.00015827056781401042,0.0002469836819553936,0.00012560795094463184,0.004114594045848492,0.00037178956855929847,0.0006152877525337204,0.0006564801448662599,0.0008561888167724208,0.0016988773386105397,0.0010849141851224625
4,1.0,4,0.0004480192642912899,0.0013568691436879987,0.007006125310961517,0.00355988198036278,0.012253611609438539,0.0033277840973679374,0.005491559683380159,0.0077398991442757074,0.0157495500889922,0.01574955008899235
5,1.0,5,2.592275187138811e-05,0.0004064188958668487,0.0015555711849414282,0.0002886638137999014,0.0005970037738704234,0.0009193336011740402,0.0013849267187775725,0.005014283444245505,0.016912504254798483,0.0017186246923018638
6,1.0,6,4.833216825137851e-05,0.0001914634793243562,0.0010521526276715924,0.00039593195511587726,0.0029210021705461434,0.002319944410782061,0.001123701158250371,0.004626631848889127,0.004103812264544596,0.011102093616436328
7,1.0,7,3.442532020052294e-06,9.090561529087513e-05,0.00016862476284204182,4.45836585610614e-05,0.0002812990083496032,0.0024354895699086635,0.0004032459273768968,0.0004438260613558778,0.0007814421128251965,0.0008468091080422244
8,1.0,8,5.6797096406329854e-06,2.435594508229854e-05,0.00017813459782802868,5.7822123043375906e-05,0.0004999504252294941,0.0005846907622261452,0.000151665577507877,0.0007800479637084288,0.0008645692680336019,0.0019071740817032362
