Lambda,Energy0,Energy1,Energy2,Energy3
3,-1.24889878524343,1.135943858515471,2.3692962422060417,-0.9917727206512683
4,0.6712319845395539,3.6947973065349338,2.7254172246278685,4.483940283272632
5,-0.19713521242951995,2.2804676389186724,2.549312325354377,1.7155273392598482
6,0.3203070420377713,3.4168977576734494,3.7510152851843093,2.3994949665242533
7,-0.03330180871233745,2.5364140294403414,2.8465157757185846,1.9579671118507944
8,0.153787280543036,3.037022143115514,3.332561924490166,2.2059793307427675
9,-0.001305908683695692,2.518718746625439,2.8976245937874525,2.00110827315559
10,0.0770865332879948,2.780743339558413,3.1202110888838774,2.107784693631949
11,0.00383962236967077,2.475830971285792,2.89606574078954,2.0052297091606874
