Lambda,GaugeViolation0,GaugeViolation1,GaugeViolation2,GaugeViolation3
3,0.04364536304497791,0.10379661702699937,0.08903075356979913,0.019324532627513203
4,0.030558421860908336,0.20757828351194862,0.045900716277218666,0.10641228542870601
5,0.015253575481261012,0.06007645140302756,0.04026078908341027,0.021445546263232692
6,0.009838511540098415,0.04193315736512415,0.03228531999406161,0.014472685233110166
7,0.0061972059726234045,0.025427497322830703,0.01783686180189734,0.009199607420339618
8,0.004213981352827557,0.016992826016498448,0.01301123944847029,0.0060281108746287485
9,0.0026125469731688757,0.012678435724802173,0.008291073371513354,0.003972084285523774
10,0.0019195332159380218,0.009153421693251855,0.006174215057390512,0.0028081562930930407
11,0.0011645011577467044,0.006866583259165503,0.004060962626775992,0.0018287303049252187
